DATE,INDPRO
1974-01-01,46.2726583333333333
1975-01-01,42.1518500000000000
1976-01-01,45.4724500000000000
1977-01-01,48.9486333333333333
1978-01-01,51.6412916666666667
1979-01-01,53.1811666666666667
1980-01-01,51.8085416666666667
1981-01-01,52.4819833333333333
1982-01-01,49.7604250000000000
1983-01-01,51.1249833333333333
1984-01-01,55.6847666666666667
1985-01-01,56.3705166666666667
1986-01-01,56.9410416666666667
1987-01-01,59.8973416666666667
1988-01-01,62.9945833333333333
1989-01-01,63.5698500000000000
1990-01-01,64.1847250000000000
1991-01-01,63.2391333333333333
1992-01-01,65.0914333333333333
1993-01-01,67.2297916666666667
1994-01-01,70.7635416666666667
1995-01-01,74.0488583333333333
1996-01-01,77.4147166666666667
1997-01-01,82.9786333333333333
1998-01-01,87.8205333333333333
1999-01-01,91.6888750000000000
2000-01-01,95.2372583333333333
2001-01-01,92.2979083333333333
2002-01-01,92.6426833333333333
2003-01-01,93.8483083333333333
2004-01-01,96.3527166666666667
2005-01-01,99.5739416666666667
2006-01-01,101.8407416666666667
2007-01-01,104.4319250000000000
2008-01-01,100.8193333333333333
2009-01-01,89.2477583333333333
2010-01-01,94.1343083333333333
2011-01-01,97.0660583333333333
2012-01-01,100.0000000000000000
2013-01-01,102.0269750000000000
2014-01-01,105.1581916666666667
2015-01-01,104.1114250000000000
2016-01-01,102.0716583333333333
2017-01-01,104.4412916666666667
2018-01-01,108.5618750000000000
2019-01-01,109.4988166666666667
