DATE,LES1252881600Q
1979-01-01,331.5000000000000000
1980-01-01,317.5000000000000000
1981-01-01,311.5000000000000000
1982-01-01,312.5000000000000000
1983-01-01,314.0000000000000000
1984-01-01,313.5000000000000000
1985-01-01,319.2500000000000000
1986-01-01,327.0000000000000000
1987-01-01,328.5000000000000000
1988-01-01,325.7500000000000000
1989-01-01,322.2500000000000000
1990-01-01,315.7500000000000000
1991-01-01,313.2500000000000000
1992-01-01,313.5000000000000000
1993-01-01,317.5000000000000000
1994-01-01,315.2500000000000000
1995-01-01,314.2500000000000000
1996-01-01,312.7500000000000000
1997-01-01,313.7500000000000000
1998-01-01,321.7500000000000000
1999-01-01,329.5000000000000000
2000-01-01,334.2500000000000000
2001-01-01,336.7500000000000000
2002-01-01,338.2500000000000000
2003-01-01,336.7500000000000000
2004-01-01,337.5000000000000000
2005-01-01,333.2500000000000000
2006-01-01,333.0000000000000000
2007-01-01,334.7500000000000000
2008-01-01,335.2500000000000000
2009-01-01,344.7500000000000000
2010-01-01,342.2500000000000000
2011-01-01,336.2500000000000000
2012-01-01,334.5000000000000000
2013-01-01,333.5000000000000000
2014-01-01,334.2500000000000000
2015-01-01,341.2500000000000000
2016-01-01,347.0000000000000000
2017-01-01,350.7500000000000000
2018-01-01,353.0000000000000000
2019-01-01,358.5000000000000000
2020-01-01,380.5000000000000000
