DATE,PCE
1974-01-01,930.1500000000000000
1975-01-01,1030.5583333333333333
1976-01-01,1147.6666666666666667
1977-01-01,1273.9750000000000000
1978-01-01,1422.2500000000000000
1979-01-01,1585.4250000000000000
1980-01-01,1750.6666666666666667
1981-01-01,1933.9416666666666667
1982-01-01,2071.2416666666666667
1983-01-01,2281.6083333333333333
1984-01-01,2492.3333333333333333
1985-01-01,2712.8416666666666667
1986-01-01,2886.2750000000000000
1987-01-01,3076.2750000000000000
1988-01-01,3330.0000000000000000
1989-01-01,3576.7666666666666667
1990-01-01,3809.0000000000000000
1991-01-01,3943.4500000000000000
1992-01-01,4197.5666666666666667
1993-01-01,4451.9833333333333333
1994-01-01,4720.9583333333333333
1995-01-01,4962.6000000000000000
1996-01-01,5244.6000000000000000
1997-01-01,5536.7833333333333333
1998-01-01,5877.2500000000000000
1999-01-01,6279.0833333333333333
2000-01-01,6762.1500000000000000
2001-01-01,7065.6333333333333333
2002-01-01,7342.6833333333333333
2003-01-01,7723.1083333333333333
2004-01-01,8212.6666666666666667
2005-01-01,8747.1333333333333333
2006-01-01,9260.3500000000000000
2007-01-01,9706.4250000000000000
2008-01-01,9976.3333333333333333
2009-01-01,9842.1916666666666667
2010-01-01,10185.8500000000000000
2011-01-01,10641.1250000000000000
2012-01-01,11006.825000000000
2013-01-01,11317.200000000000
2014-01-01,11822.750000000000
2015-01-01,12297.475000000000
2016-01-01,12769.950000000000
2017-01-01,13340.350000000000
2018-01-01,13993.283333333333
2019-01-01,14544.616666666667
